cod_original_query;language;cod_noise_kind;text
141630;pt;1;como descrever músculos e ossos trabalham juntos para produzir movimento
156498;pt;1;docs Google salva automaticamente
169208;pt;1;tem Mississippi imposto de renda
174463;pt;1;da significado tarde do dia do cachorro
258062;pt;1;tempo quanto leva para remover o dente do siso
324585;pt;1;dinheiro quanto os palestrantes motivacionais ganham
330975;pt;1;custaria quanto para instalar minha própria turbina eólica
332593;pt;1;que com frequência abotoar codornizes botam ovos
336901;pt;1;anos quantos tem vanessa redgrave
390360;pt;1;do significado sufixo ia
405163;pt;1;é cafeína um narcótico
555530;pt;1;são quais os melhores alimentos para reduzir o colesterol
583468;pt;1;que para carvedilol é usado
640502;pt;1;que o significa se seu tsh está baixo
673670;pt;1;que o é um alm
701453;pt;1;que o é uma escritura legal
730539;pt;1;que o é o cronômetro que o inventou
768208;pt;1;que o é mamey
877809;pt;1;que de metal são feitos os substitutos do quadril
911232;pt;1;tipo que de conflito enfrenta della em ou , Henry , o dom dos magos
914916;pt;1;tipo que de tecido são bronquíolos
938400;pt;1;surgiu quando a rixa familiar ?
940547;pt;1;o quando rock n roll começou ?
997622;pt;1;é onde filmado o show desavergonhado
1030303;pt;1;é quem aziz hashim
1037496;pt;1;é quem rep scalise ?
1043135;pt;1;matou quem nicolau da rússia
1051399;pt;1;canta quem a música tema do monge
1064670;pt;1;que por os caçadores padronizam suas espingardas ?
1071750;pt;1;que Por Pete Rose foi banido do Hall da Fama
1105792;pt;1;geon definir
1106979;pt;1;gráfico definir de pareto nas estatísticas
1108651;pt;1;a qual melhor maneira de conseguir roupas brancas
1109707;pt;1;qual por meio as ondas de rádio viajam
1110678;pt;1;é qual o un fao
1113256;pt;1;é qual o patrimônio líquido de reba mcentire
1115210;pt;1;que o é palha e chama
1116380;pt;1;que o é uma não conformidade ? Ciência da Terra
1121353;pt;1;que O você pode fazer sobre a discriminação no local de trabalho em Oklahoma City
1122767;pt;1;amino qual produz carnitina
1127540;pt;1;de significado shebang
1131069;pt;1;filhos quantos robert kraft tem
1132532;pt;1;de analista dados de renda média anual
1133579;pt;1;o como tecido de granulação começa
1136043;pt;1;entre diferença um hotel e motel
1136047;pt;1;entre diferença a estratégia de uma empresa e o modelo de negócios é
1136962;pt;1;que por os antigos egípcios chamavam sua terra de kemet , ou terra negra ?
23849;pt;2;são informações públicas de registros naturalização de
42255;pt;2;salário médio de higienista dental nebraska em
47210;pt;2;custo médio de alteração do vestido noiva de
67316;pt;2;pode a febre causar aborto espontâneo no início gravidez da
118440;pt;2;definir medical bmt
121171;pt;2;etruscos definir
135802;pt;2;definição louvável de
141630;pt;2;descrever como músculos e ossos trabalham juntos para movimento produzir
156498;pt;2;Google docs automaticamente salva
169208;pt;2;Mississippi tem imposto renda de
174463;pt;2;significado da tarde do dia cachorro do
258062;pt;2;quanto tempo leva para remover o dente siso do
324585;pt;2;quanto dinheiro os palestrantes ganham motivacionais
330975;pt;2;quanto custaria para instalar minha própria eólica turbina
332593;pt;2;com que frequência abotoar codornizes ovos botam
336901;pt;2;quantos anos tem redgrave vanessa
390360;pt;2;significado do ia sufixo
405163;pt;2;cafeína é narcótico um
555530;pt;2;quais são os melhores alimentos para reduzir colesterol o
583468;pt;2;para que carvedilol usado é
640502;pt;2;o que significa se seu tsh baixo está
673670;pt;2;o que é alm um
701453;pt;2;o que é uma legal escritura
730539;pt;2;o que é o cronômetro que inventou o
768208;pt;2;o que mamey é
877809;pt;2;de que metal são feitos os substitutos quadril do
911232;pt;2;que tipo de conflito enfrenta della em ou , Henry , o dom magos dos
914916;pt;2;que tipo de tecido bronquíolos são
938400;pt;2;quando surgiu a rixa ? familiar
940547;pt;2;quando o rock n roll ? começou
997622;pt;2;onde é filmado o desavergonhado show
1030303;pt;2;quem é hashim aziz
1037496;pt;2;quem é rep ? scalise
1043135;pt;2;quem matou nicolau rússia da
1051399;pt;2;quem canta a música tema monge do
1064670;pt;2;por que os caçadores padronizam suas ? espingardas
1071750;pt;2;Por que Pete Rose foi banido do Hall Fama da
1105792;pt;2;geon definir
1106979;pt;2;definir gráfico de pareto estatísticas nas
1108651;pt;2;qual a melhor maneira de conseguir brancas roupas
1109707;pt;2;por qual meio as ondas de viajam rádio
1110678;pt;2;qual é o fao un
1113256;pt;2;qual é o patrimônio líquido de mcentire reba
1115210;pt;2;o que é palha chama e
1116380;pt;2;o que é uma não conformidade ? Ciência Terra da
1121353;pt;2;O que você pode fazer sobre a discriminação no local de trabalho em City Oklahoma
1122767;pt;2;qual amino carnitina produz
1127540;pt;2;significado shebang de
1131069;pt;2;quantos filhos robert tem kraft
1132532;pt;2;analista de dados de renda anual média
1133579;pt;2;como o tecido de começa granulação
1136043;pt;2;diferença entre um hotel motel e
1136047;pt;2;diferença entre a estratégia de uma empresa e o modelo de é negócios
1136962;pt;2;por que os antigos egípcios chamavam sua terra de kemet , ou terra ? negra
23849;pt;3;naturalização informações públicas de registros de são
42255;pt;3;nebraska médio de higienista dental em salário
47210;pt;3;noiva médio de alteração do vestido de custo
67316;pt;3;gravidez a febre causar aborto espontâneo no início da pode
118440;pt;3;medical bmt definir
121171;pt;3;etruscos definir
135802;pt;3;louvável de definição
141630;pt;3;movimento como músculos e ossos trabalham juntos para produzir descrever
156498;pt;3;automaticamente docs salva Google
169208;pt;3;renda tem imposto de Mississippi
174463;pt;3;cachorro da tarde do dia do significado
258062;pt;3;siso tempo leva para remover o dente do quanto
324585;pt;3;ganham dinheiro os palestrantes motivacionais quanto
330975;pt;3;eólica custaria para instalar minha própria turbina quanto
332593;pt;3;ovos que frequência abotoar codornizes botam com
336901;pt;3;redgrave anos tem vanessa quantos
390360;pt;3;ia do sufixo significado
405163;pt;3;narcótico é um cafeína
555530;pt;3;colesterol são os melhores alimentos para reduzir o quais
583468;pt;3;usado que carvedilol é para
640502;pt;3;baixo que significa se seu tsh está o
673670;pt;3;alm que é um o
701453;pt;3;legal que é uma escritura o
730539;pt;3;inventou que é o cronômetro que o o
768208;pt;3;mamey que é o
877809;pt;3;quadril que metal são feitos os substitutos do de
911232;pt;3;magos tipo de conflito enfrenta della em ou , Henry , o dom dos que
914916;pt;3;bronquíolos tipo de tecido são que
938400;pt;3;? surgiu a rixa familiar quando
940547;pt;3;? o rock n roll começou quando
997622;pt;3;desavergonhado é filmado o show onde
1030303;pt;3;hashim é aziz quem
1037496;pt;3;? é rep scalise quem
1043135;pt;3;rússia matou nicolau da quem
1051399;pt;3;monge canta a música tema do quem
1064670;pt;3;? que os caçadores padronizam suas espingardas por
1071750;pt;3;Fama que Pete Rose foi banido do Hall da Por
1105792;pt;3;geon definir
1106979;pt;3;estatísticas gráfico de pareto nas definir
1108651;pt;3;brancas a melhor maneira de conseguir roupas qual
1109707;pt;3;viajam qual meio as ondas de rádio por
1110678;pt;3;fao é o un qual
1113256;pt;3;mcentire é o patrimônio líquido de reba qual
1115210;pt;3;chama que é palha e o
1116380;pt;3;Terra que é uma não conformidade ? Ciência da o
1121353;pt;3;City que você pode fazer sobre a discriminação no local de trabalho em Oklahoma O
1122767;pt;3;carnitina amino produz qual
1127540;pt;3;shebang de significado
1131069;pt;3;tem filhos robert kraft quantos
1132532;pt;3;anual de dados de renda média analista
1133579;pt;3;começa o tecido de granulação como
1136043;pt;3;motel entre um hotel e diferença
1136047;pt;3;é entre a estratégia de uma empresa e o modelo de negócios diferença
1136962;pt;3;? que os antigos egípcios chamavam sua terra de kemet , ou terra negra por
23849;pt;7;Informações públicas para registros de naturalização
42255;pt;7;Salário mediano de higienista dental em Nebraska
47210;pt;7;Mudança média do vestido de noiva
67316;pt;7;A febre pode causar aborto espontâneo no início da gravidez
118440;pt;7;Defina a BMT Medical.
121171;pt;7;Definir etrusca
135802;pt;7;Definição de louvável
141630;pt;7;Descrever como músculos e ossos trabalham juntos para produzir movimento
156498;pt;7;O Google Docs salva automaticamente
169208;pt;7;Mississippi tem imposto de renda
174463;pt;7;Significado do dia de cachorro
258062;pt;7;Quanto tempo leva para remover o dente do siso
324585;pt;7;Quanto dinheiro falantes motivacionais ganham
330975;pt;7;Quanto custaria instalar minha própria turbina eólica?
332593;pt;7;Botão de frequência botão botam ovos
336901;pt;7;Quantos anos tem Vanessa Redgrave
390360;pt;7;Significado do sufixo ia
405163;pt;7;Cafeína é um narcótico
555530;pt;7;Quais são os melhores alimentos para reduzir o colesterol?
583468;pt;7;de modo que o carvedilol é usado
640502;pt;7;o que significa que se o seu TSH é baixo
673670;pt;7;O que é um alm
701453;pt;7;O que é uma escritura legal
730539;pt;7;Qual é o temporizador que inventou
768208;pt;7;O que é mamey?
877809;pt;7;que o metal é feito dos substitutos do quadril
911232;pt;7;Que tipo de conflito enfrenta della dentro ou, Henry, o dom dos mágicos
914916;pt;7;Que tipo de tecido são bronquíolos
938400;pt;7;Quando a família Brawl apareceu?
940547;pt;7;Quando o rock n roll começou?
997622;pt;7;Onde é o show sem vergonha
1030303;pt;7;Quem é Aziz Hashim
1037496;pt;7;Quem é Rep Scalise?
1043135;pt;7;Quem matou Nicolau da Rússia
1051399;pt;7;Quem canta o tema da música do monge
1064670;pt;7;Por que os caçadores padronizam seus rifles?
1071750;pt;7;Por que Pete Rose foi banida do corredor da fama
1105792;pt;7;Definir: Geon.
1106979;pt;7;Definir Pareto Gráfico em estatísticas
1108651;pt;7;Qual é a melhor maneira de obter roupas brancas?
1109707;pt;7;Para quais ondas de rádio viajam
1110678;pt;7;O que é a FAO da ONU?
1113256;pt;7;Qual é o patrimônio líquido de Reba Mcentire
1115210;pt;7;O que é palha e chama
1116380;pt;7;O que é um não cumprimento? Ciência da terra
1121353;pt;7;O que você pode fazer sobre a discriminação no local de trabalho em Oklahoma City
1122767;pt;7;Qual amino produz carnitina
1127540;pt;7;Significado de shebang.
1131069;pt;7;Quantas crianças Robert Kraft tem
1132532;pt;7;Analista Anual de Dados de Renda Média
1133579;pt;7;Como o tecido de granulação começa
1136043;pt;7;Diferença entre um hotel e motel
1136047;pt;7;diferença entre a estratégia de uma empresa e o modelo de negócios é
1136962;pt;7;Por que os antigos egípcios chamavam de terra de Kemet, ou terra negra?
